TIPO_UNIVERSIDAD;MODALIDAD;UNIVERSIDAD;RAMA_ENSEÑANZA;EGR_C16_17;EGR_C15_16;EGR_C14_15;EGR_C13_14;EGR_C12_13;EGR_C11_12;EGR_C10_11;EGR_C09_10
Universidades Privadas;Presencial;Navarra;Ciencias;107;120;123;126;216;186;175;147
Universidades Privadas;Presencial;Pontificia Comillas;Ciencias Sociales y Jurídicas;1328;1299;1297;1518;1632;1249;1012;1104
Universidades Privadas;Presencial;Pontificia Comillas;Ingeniería y Arquitectura;425;363;325;418;318;376;349;426
Universidades Privadas;Presencial;Pontificia Comillas;Artes y Humanidades;80;110;98;97;38;73;41;50
Universidades Privadas;Presencial;Pontificia Comillas;Ciencias de la Salud;332;324;293;281;244;111;287;171
Universidades Privadas;Presencial;Pontificia Comillas;Ciencias;0;0;0;0;0;0;0;0
Universidades Privadas;Presencial;Pontificia de Salamanca;Ciencias Sociales y Jurídicas;1033;1114;1286;1540;1385;1292;1328;2275
Universidades Privadas;Presencial;Pontificia de Salamanca;Ingeniería y Arquitectura;53;93;91;118;35;46;82;148
Universidades Privadas;Presencial;Pontificia de Salamanca;Artes y Humanidades;9;7;12;10;8;6;13;11
Universidades Privadas;Presencial;Pontificia de Salamanca;Ciencias de la Salud;388;379;352;315;215;116;94;111
Universidades Privadas;Presencial;Pontificia de Salamanca;Ciencias;0;0;0;0;0;0;0;0
Universidades Privadas;Presencial;Ramón Llull;Ciencias Sociales y Jurídicas;2984;2530;2580;2177;2492;2285;2266;1130
Universidades Privadas;Presencial;Ramón Llull;Ingeniería y Arquitectura;344;474;457;471;526;532;524;546
Universidades Privadas;Presencial;Ramón Llull;Artes y Humanidades;78;91;92;4;13;12;27;0
Universidades Privadas;Presencial;Ramón Llull;Ciencias de la Salud;390;380;398;349;312;204;396;330
Universidades Privadas;Presencial;Ramón Llull;Ciencias;85;48;55;40;61;50;81;56
Universidades Privadas;Presencial;San Jorge;Ciencias Sociales y Jurídicas;123;101;124;106;31;123;129;183
Universidades Privadas;Presencial;San Jorge;Ingeniería y Arquitectura;26;42;84;31;1;14;10;6
Universidades Privadas;Presencial;San Jorge;Artes y Humanidades;0;0;0;0;0;0;0;0
Universidades Privadas;Presencial;San Jorge;Ciencias de la Salud;271;308;236;195;27;0;0;0
Universidades Privadas;Presencial;San Jorge;Ciencias;0;0;0;0;0;0;5;23
Universidades Privadas;Presencial;San Pablo-CEU;Ciencias Sociales y Jurídicas;1154;1145;1606;1875;1937;1531;1640;1206
Universidades Privadas;Presencial;San Pablo-CEU;Ingeniería y Arquitectura;218;259;311;358;411;391;284;122
Universidades Privadas;Presencial;San Pablo-CEU;Artes y Humanidades;73;102;92;101;89;121;38;5
Universidades Privadas;Presencial;San Pablo-CEU;Ciencias de la Salud;746;712;694;609;665;693;407;379
Universidades Privadas;Presencial;San Pablo-CEU;Ciencias;81;82;173;264;390;628;636;369
Universidades Privadas;Presencial;Vic-Central de Catalunya;Ciencias Sociales y Jurídicas;636;820;808;812;683;455;791;618
Universidades Privadas;Presencial;Vic-Central de Catalunya;Ingeniería y Arquitectura;95;73;94;105;87;87;91;79
Universidades Privadas;Presencial;Vic-Central de Catalunya;Artes y Humanidades;98;83;81;86;127;53;56;40
Universidades Privadas;Presencial;Vic-Central de Catalunya;Ciencias de la Salud;334;271;246;224;191;30;246;197
Universidades Privadas;Presencial;Vic-Central de Catalunya;Ciencias;89;66;50;67;76;93;89;105
Universidades Privadas;No Presencial;A Distancia de Madrid;Ciencias Sociales y Jurídicas;2082;2078;2118;1869;1477;982;375;86
Universidades Privadas;No Presencial;A Distancia de Madrid;Ingeniería y Arquitectura;75;67;75;43;6;0;0;0
Universidades Privadas;No Presencial;A Distancia de Madrid;Artes y Humanidades;10;5;3;2;4;0;0;0
Universidades Privadas;No Presencial;A Distancia de Madrid;Ciencias de la Salud;123;101;57;32;20;0;0;0
Universidades Privadas;No Presencial;A Distancia de Madrid;Ciencias;0;0;0;0;0;0;0;0
Universidades Privadas;No Presencial;Internacional de La Rioja;Ciencias Sociales y Jurídicas;7713;6757;5840;5053;1976;1859;1306;123
Universidades Privadas;No Presencial;Internacional de La Rioja;Ingeniería y Arquitectura;521;363;210;138;81;38;0;0
Universidades Privadas;No Presencial;Internacional de La Rioja;Artes y Humanidades;188;124;66;4;0;0;0;0
Universidades Privadas;No Presencial;Internacional de La Rioja;Ciencias de la Salud;139;56;17;0;0;0;0;0
Universidades Privadas;No Presencial;Internacional de La Rioja;Ciencias;2;0;0;0;0;0;0;0
Universidades Privadas;No Presencial;Internacional Isabel I de Castilla;Ciencias Sociales y Jurídicas;1974;1258;1480;1537;0;0;0;0
Universidades Privadas;No Presencial;Internacional Isabel I de Castilla;Ingeniería y Arquitectura;19;0;0;0;0;0;0;0
Universidades Privadas;No Presencial;Internacional Isabel I de Castilla;Artes y Humanidades;0;0;0;0;0;0;0;0
Universidades Privadas;No Presencial;Internacional Isabel I de Castilla;Ciencias de la Salud;209;0;0;0;0;0;0;0
Universidades Privadas;No Presencial;Internacional Isabel I de Castilla;Ciencias;0;0;0;0;0;0;0;0
Universidades Privadas;No Presencial;Internacional Valenciana;Ciencias Sociales y Jurídicas;2811;1920;1145;683;465;285;114;0
Universidades Privadas;No Presencial;Internacional Valenciana;Ingeniería y Arquitectura;0;0;0;0;0;0;0;0
Universidades Privadas;No Presencial;Internacional Valenciana;Artes y Humanidades;143;66;65;72;0;0;0;0
Universidades Privadas;No Presencial;Internacional Valenciana;Ciencias de la Salud;208;154;0;0;0;0;0;0
Universidades Privadas;No Presencial;Internacional Valenciana;Ciencias;27;19;24;38;0;0;0;0
Universidades Privadas;No Presencial;Oberta de Catalunya;Ciencias Sociales y Jurídicas;3364;3129;3355;2718;2975;3903;3073;2513
Universidades Privadas;No Presencial;Oberta de Catalunya;Ingeniería y Arquitectura;445;553;548;583;667;578;553;419
Universidades Privadas;No Presencial;Oberta de Catalunya;Artes y Humanidades;278;280;305;421;440;272;184;203
Universidades Privadas;No Presencial;Oberta de Catalunya;Ciencias de la Salud;650;507;352;241;184;44;1;100
Universidades Privadas;No Presencial;Oberta de Catalunya;Ciencias;0;0;0;0;0;0;0;0
